No,DPO equation,BG,IP,EA,smiles
F6.1,5 - 10*a + -af,1.984,4.757,2.773,s1ccc2c1cc1cc3cc4cc5ccccc5cc4cc3cc1c2
F6.2,4 - 6*a + b + -af,2.607,5.047,2.439,c1(c(ccc2c1cccc2)cc3cc4c5)cc3cc4cc6c5ccs6
F6.3,3 - 3*a + b + b*d + -af,3.337,5.382,2.045,c1(cc2sccc2cc1cc3cc4)cc3c5c4cc6ccccc6c5
F6.4,3 - 3*a + b + d + -af,3.095,5.265,2.17,c1(cc2sccc2cc1cc3cc4)cc3c5c4c6ccccc6cc5
F6.5,3 - 3*a + -af + 2*b0,3.079,5.363,2.284,s1c2cc3c(cc2c2c1cc1ccccc1c2)cc1ccccc1c3
F6.6,3 - 3*a + b + -af + b0,3.275,5.403,2.127,s1c2cc3c(cc2c2c1cccc2)cc1c(ccc2c1cccc2)c3
F6.7,2 - a + b + d + -af + b0,3.774,5.632,1.857,s1c2cc3c(cc2c2c1cccc2)c1c(cc3)c2c(cccc2)cc1
F6.8,2 - a + b + d + b*d + -af,3.789,5.563,1.774,s1ccc2cc3c(ccc4c3ccc3c4c4ccccc4cc3)cc12
F6.9,3 - 3*a + b + c + -af,3.048,5.236,2.187,c1(cc2sccc2cc1cc3cc4)cc3c5c4ccc6ccccc56
F6.10,3 - 3*a + b + -af + b0,3.276,5.396,2.12,s1c2ccccc2c2cc3c(cc12)cc1c(ccc2ccccc12)c3
F6.11,3 - 3*a + 2*b + -af,3.361,5.405,2.043,c(c1cc2c3)(c4ccccc4c5ccccc15)cc2cc6c3ccs6
F6.12,2 - a + 2*b + d + -af,3.787,5.593,1.806,c1(cc2sccc2cc1c3ccccc43)c5c4c6ccccc6cc5
F6.13,2 - a + b + c + d + -af,3.62,5.478,1.858,c1(cc2sccc2cc1cc3)c4c3c5ccccc5c6ccccc46
F6.14,2 - a + 2*b + -af + b0,4.107,5.828,1.721,s1c2ccccc2c2cc3c4ccccc4c4ccccc4c3cc12
F6.15,2 - a + b + c + b*d + -af,3.802,5.582,1.78,s1ccc2cc3c(cc12)c1c(cc3)ccc2c1ccc1c2cccc1
F6.16,2 - a + b + c + -af + b0,3.704,5.604,1.9,s1c2ccccc2c2cc3c(cc12)c1c(ccc2c1cccc2)cc3
F6.17,2 - a + b + d + b*d + -af,3.86,5.615,1.755,c1(cc2sccc2cc1cc3)c4c3c5ccc6ccccc6c5cc4
F6.18,2 - a + 2*b + c + -af,3.847,5.593,1.746,c1(cc2sccc2cc1c3c4ccccc4ccc53)c6c5cccc6
F6.19,3 - 3*a + b + bf,2.959,5.25,2.291,c1(c(ccc2c1cccc2)cc3cc4cc5)cc3cc4c6c5scc6
F6.20,2 - a + 2*b + bf,3.804,5.667,1.863,c1(c(c2ccccc2c3c1cccc3)cc4cc5)cc4c6c5scc6
F6.21,2 - a + 2*b + df,3.743,5.619,1.876,c1(c(ccc2c1ccc3sccc23)cc4cc5)cc4c6c5cccc6
F6.22,2 - a + b + d + bf,3.451,5.482,2.031,s1ccc2c1c1cc3c4ccc5c(cccc5)c4ccc3cc1cc2
